719.719 378.256 0.95
757.924 376.929 0.95
788.488 374.276 0.95
834.335 378.256 0.95
877.635 375.602 0.95
922.208 376.929 0.95
959.14 376.929 0.95
999.892 382.235 0.95
1062.29 390.195 0.95
1109.41 395.502 0.95
1155.26 399.482 0.95
1231.67 410.095 0.95
1291.53 419.381 0.95
1305.54 424.687 0.95
1348.84 432.647 0.95
1380.67 441.933 0.95
1415.06 457.853 0.95
1443.08 473.772 0.95
1473.64 492.345 0.95
1491.47 513.571 0.95
1501.66 528.164 0.95
1514.39 566.636 0.95
1513.12 607.761 0.95
1497.84 630.314 0.95
1483.83 648.886 0.95
1469.82 663.479 0.95
1448.17 679.399 0.95
1423.97 695.318 0.95
1397.23 711.238 0.95
1361.57 732.464 0.95
1332.28 743.077 0.95
1294.07 757.669 0.95
1266.06 768.282 0.95
1231.67 780.222 0.95
1199.83 789.508 0.95
1165.45 805.428 0.95
1129.79 816.041 0.95
1094.13 826.654 0.95
1061.02 835.94 0.95
1022.82 842.573 0.95
994.798 853.186 0.95
956.593 858.493 0.95
928.575 865.126 0.95
901.831 870.432 0.95
887.823 871.759 0.95
863.626 877.065 0.95
838.156 879.719 0.95
805.044 881.045 0.95
768.112 882.372 0.95
738.821 881.045 0.95
701.889 878.392 0.95
677.692 871.759 0.95
642.034 854.513 0.95
612.743 841.247 0.95
583.452 814.714 0.95
560.529 796.141 0.95
535.059 766.956 0.95
515.956 752.363 0.95
499.4 724.504 0.95
485.391 695.318 0.95
461.195 662.153 0.95
443.365 632.967 0.95
433.177 594.495 0.95
421.716 532.144 0.95
419.169 557.35 0.95
412.801 494.998 0.95
417.895 464.486 0.95
443.365 445.913 0.95
481.571 418.054 0.95
529.965 407.441 0.95
569.444 396.828 0.95
616.564 386.215 0.95
658.59 380.909 0.95
691.701 378.256 0.95
