1746.17 237.634 0.94
1604.81 237.634 0.94
1468.55 234.98 0.94
1370.49 234.98 0.94
1238.04 229.674 0.94
1059.75 225.694 0.94
905.652 227.021 0.94
770.659 221.714 0.94
703.163 223.041 0.94
659.863 228.347 0.94
611.47 249.573 0.94
552.888 269.473 0.94
508.315 288.045 0.94
462.468 315.904 0.94
425.536 342.437 0.94
401.339 374.276 0.94
378.416 416.728 0.94
364.407 448.567 0.94
354.219 485.712 0.94
344.031 553.37 0.94
338.937 605.108 0.94
337.664 651.54 0.94
335.116 704.605 0.94
332.569 749.71 0.94
332.569 781.549 0.94
335.116 805.428 0.94
344.031 835.94 0.94
358.04 854.513 0.94
384.784 875.739 0.94
412.801 887.678 0.94
451.007 899.618 0.94
505.768 908.904 0.94
582.179 915.537 0.94
656.043 916.864 0.94
784.668 920.844 0.94
928.575 918.191 0.94
1103.05 915.537 0.94
1213.84 907.578 0.94
1296.62 892.985 0.94
1367.94 873.086 0.94
1422.7 845.227 0.94
1472.37 810.734 0.94
1524.58 766.956 0.94
1578.07 715.218 0.94
1615 671.439 0.94
1654.48 623.681 0.94
1686.32 575.922 0.94
1719.43 530.817 0.94
1753.81 480.405 0.94
