1.59,0.06
20.87,0.49
36.30,0.75
55.58,1.31
75.51,1.93
90.29,2.40
103.79,3.04
116.00,3.69
127.57,4.29
140.42,4.92
157.13,5.76
168.06,6.44
179.63,7.00
191.20,7.53
204.05,7.95
220.76,8.13
238.12,8.12
250.97,7.99
262.54,7.86
278.61,7.74
286.96,7.47
295.32,7.18
305.60,6.96
313.31,6.74
319.74,6.33
326.81,5.81
331.95,5.44
336.45,5.16
343.52,4.32
350.59,3.43
360.23,2.73
369.23,2.01
375.66,1.43
384.66,0.89
388.51,0.41
398.80,0.05
411.01,0.08
421.94,0.28
431.58,0.57
439.93,0.80
450.86,1.15
461.14,1.41
475.92,1.67
490.06,1.80
504.85,1.87
522.20,2.05
538.27,2.60
557.55,3.39
581.97,4.30
600.61,5.24
618.61,6.22
635.96,7.29
655.89,8.70
670.03,10.00
684.17,11.30
706.02,12.26
715.02,12.53
728.52,12.87
745.87,13.17
761.30,13.30
778.65,13.31
814.64,13.33
849.35,13.34
888.56,13.34
903.34,13.17
938.05,12.78
963.11,12.29
984.32,11.82
1004.89,11.30
1031.88,10.80
1055.66,10.26
1068.52,9.92
1086.51,9.53
1100.65,9.27
1116.72,8.98
1130.86,8.67
1161.71,7.79
1195.78,6.87
1223.42,6.01
1246.55,5.23
1266.48,4.46
1289.62,3.60
1317.90,2.65
1349.39,1.77
1373.17,1.20
1395.02,0.62
1415.59,0.28
1438.09,0.15
